NODE TYPE,NODE NAME,EDGE TYPE,NODE TYPE,NODE NAME,Weight
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,İzmir Adnan Menderes Havalimanı,1
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,Antalya Havalimanı,1
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,Muğla Milas - Bodrum Havalimanı,1
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,Van Ferit Melen Havalimanı,1
Airport,Adana Havalimanı,HAS A FLIGHT TO,Airport,Trabzon Havalimanı,1
Airport,Trabzon Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Sabiha Gökçen Havalimanı,1
Airport,Trabzon Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
Airport,Trabzon Havalimanı,HAS A FLIGHT TO,Airport,Ankara Esenboğa Havalimanı,1
Airport,Trabzon Havalimanı,HAS A FLIGHT TO,Airport,Kocaeli Cengiz Topel Havalimanı,1
Airport,Trabzon Havalimanı,HAS A FLIGHT TO,Airport,Adana Havalimanı,1
Airport,Trabzon Havalimanı,HAS A FLIGHT TO,Airport,İzmir Adnan Menderes Havalimanı,1
Airport,Isparta Suleyman Demirel Havalimanı,HAS A FLIGHT TO,Airport,İstanbul Atatürk Havalimanı,1
